0 , 43.0 , 1.0 , 66.0 , 76.0
1 , -95.0 , -8.0 , 69.0 , 75.0
2 , -156.0 , 13.0 , 69.0 , 83.0
3 , -72.0 , -14.0 , 42.0 , 58.0
4 , -158.0 , 10.0 , 55.0 , 41.0
5 , 168.0 , 12.0 , 67.0 , 38.0
6 , -111.0 , 22.0 , 60.0 , 65.0
7 , 183.0 , -17.0 , 60.0 , 62.0
8 , 196.0 , 4.0 , 60.0 , 54.0
9 , 154.0 , -4.0 , 45.0 , 73.0
10 , 38.0 , 28.0 , 54.0 , 72.0
11 , 94.0 , 15.0 , 46.0 , 62.0
12 , -119.0 , 11.0 , 65.0 , 60.0
13 , 16.0 , 7.0 , 51.0 , 59.0
14 , -34.0 , 20.0 , 67.0 , 66.0
15 , -166.0 , 0.0 , 70.0 , 67.0
16 , 99.0 , -8.0 , 84.0 , 63.0
17 , -185.0 , 10.0 , 52.0 , 76.0
18 , -208.0 , 3.0 , 88.0 , 57.0
19 , 151.0 , 8.0 , 72.0 , 68.0
20 , -44.0 , 1.0 , 74.0 , 83.0
21 , 144.0 , 0.0 , 72.0 , 68.0
22 , 57.0 , 0.0 , 38.0 , 68.0
23 , 127.0 , -12.0 , 67.0 , 64.0
24 , 16.0 , 1.0 , 72.0 , 79.0
25 , -44.0 , 21.0 , 59.0 , 79.0
26 , 34.0 , -3.0 , 48.0 , 52.0
27 , -65.0 , 22.0 , 77.0 , 66.0
28 , 82.0 , 7.0 , 71.0 , 82.0
29 , 12.0 , 13.0 , 62.0 , 77.0
30 , -106.0 , -6.0 , 72.0 , 78.0
31 , 221.0 , -25.0 , 66.0 , 65.0
32 , 188.0 , 42.0 , 71.0 , 63.0
33 , -6.0 , 11.0 , 60.0 , 74.0
34 , -37.0 , -3.0 , 70.0 , 67.0
35 , 59.0 , 11.0 , 52.0 , 69.0
36 , 96.0 , -14.0 , 67.0 , 65.0
37 , -345.0 , 14.0 , 72.0 , 81.0
38 , 40.0 , -14.0 , 45.0 , 71.0
39 , 26.0 , 14.0 , 67.0 , 75.0
40 , -247.0 , 18.0 , 65.0 , 75.0
41 , -126.0 , -1.0 , 76.0 , 60.0
42 , 0.0 , 11.0 , 48.0 , 66.0
43 , -84.0 , 0.0 , 52.0 , 66.0
44 , 70.0 , -6.0 , 79.0 , 65.0
45 , 8.0 , -2.0 , 87.0 , 63.0
46 , 56.0 , 13.0 , 53.0 , 70.0
47 , -2.0 , 4.0 , 63.0 , 69.0
48 , -162.0 , -7.0 , 72.0 , 74.0
49 , -162.0 , 7.0 , 67.0 , 74.0
50 , -85.0 , -8.0 , 52.0 , 76.0
51 , 116.0 , 0.0 , 86.0 , 71.0
52 , 0.0 , 11.0 , 61.0 , 72.0
53 , -13.0 , 7.0 , 67.0 , 82.0
54 , -86.0 , 2.0 , 66.0 , 81.0
55 , -26.0 , -5.0 , 52.0 , 59.0
56 , -157.0 , -16.0 , 58.0 , 67.0
57 , 57.0 , -5.0 , 61.0 , 74.0
58 , 11.0 , 1.0 , 71.0 , 72.0
59 , 21.0 , -6.0 , 72.0 , 67.0
60 , 90.0 , 2.0 , 74.0 , 73.0
61 , -22.0 , -12.0 , 83.0 , 53.0
62 , 104.0 , 6.0 , 63.0 , 62.0
63 , -241.0 , 5.0 , 65.0 , 74.0
64 , -8.0 , 24.0 , 53.0 , 49.0
65 , 132.0 , 7.0 , 68.0 , 62.0
66 , 28.0 , -15.0 , 74.0 , 85.0
67 , 17.0 , 0.0 , 55.0 , 73.0
68 , -145.0 , 3.0 , 61.0 , 73.0
69 , -40.0 , 21.0 , 69.0 , 79.0
70 , -89.0 , 12.0 , 72.0 , 85.0
71 , -16.0 , 7.0 , 83.0 , 80.0
72 , -10.0 , 13.0 , 82.0 , 56.0
73 , -81.0 , -7.0 , 59.0 , 60.0
74 , -45.0 , -2.0 , 60.0 , 77.0
75 , -24.0 , -1.0 , 58.0 , 77.0
76 , 12.0 , 6.0 , 56.0 , 74.0
77 , 43.0 , 15.0 , 42.0 , 53.0
78 , -90.0 , 15.0 , 59.0 , 61.0
79 , 42.0 , 2.0 , 61.0 , 68.0
80 , -140.0 , -8.0 , 70.0 , 60.0
81 , -106.0 , -6.0 , 84.0 , 46.0
82 , 109.0 , -4.0 , 83.0 , 88.0
83 , -136.0 , -22.0 , 65.0 , 76.0
84 , -64.0 , 10.0 , 75.0 , 74.0
85 , 73.0 , 4.0 , 65.0 , 79.0
86 , 57.0 , 6.0 , 62.0 , 93.0
87 , -57.0 , 11.0 , 62.0 , 63.0
88 , 165.0 , -11.0 , 74.0 , 56.0
89 , 8.0 , 2.0 , 77.0 , 35.0
90 , 167.0 , -12.0 , 83.0 , 64.0
91 , -52.0 , 10.0 , 69.0 , 63.0
92 , 58.0 , 0.0 , 68.0 , 48.0
93 , 95.0 , 8.0 , 57.0 , 83.0
94 , 165.0 , 5.0 , 46.0 , 82.0
95 , -72.0 , 7.0 , 84.0 , 61.0
96 , 7.0 , 10.0 , 48.0 , 71.0
97 , 67.0 , 22.0 , 49.0 , 65.0
98 , 219.0 , -7.0 , 71.0 , 67.0
99 , -243.0 , 7.0 , 89.0 , 62.0
100 , -114.0 , 19.0 , 79.0 , 83.0
101 , 28.0 , -18.0 , 82.0 , 62.0
102 , 105.0 , -3.0 , 74.0 , 68.0
103 , -87.0 , -9.0 , 67.0 , 85.0
104 , -273.0 , -7.0 , 68.0 , 64.0
105 , 138.0 , 45.0 , 58.0 , 62.0
106 , -3.0 , 15.0 , 73.0 , 67.0
107 , 183.0 , 6.0 , 56.0 , 67.0
108 , 69.0 , -10.0 , 68.0 , 57.0
109 , -135.0 , -1.0 , 68.0 , 62.0
110 , -88.0 , -1.0 , 61.0 , 63.0
111 , -1.0 , -4.0 , 76.0 , 70.0
112 , -32.0 , 16.0 , 60.0 , 57.0
113 , 46.0 , 25.0 , 78.0 , 50.0
114 , 72.0 , -11.0 , 73.0 , 60.0
115 , 97.0 , 30.0 , 88.0 , 74.0
116 , 100.0 , 5.0 , 71.0 , 61.0
117 , -146.0 , 1.0 , 75.0 , 44.0
118 , 112.0 , 12.0 , 53.0 , 59.0
119 , -9.0 , 0.0 , 67.0 , 59.0
120 , -172.0 , 4.0 , 59.0 , 74.0
121 , -105.0 , 5.0 , 77.0 , 65.0
